Date,Close
2015-01-02,123.06999969482422
2015-01-05,121.02999877929688
2015-01-06,117.36000061035156
2015-01-07,120.66000366210938
2015-01-08,123.97000122070312
2015-01-09,122.20999908447266
2015-01-12,118.30999755859375
2015-01-13,120.5999984741211
2015-01-14,120.37999725341797
2015-01-15,117.77999877929688
2015-01-16,122.86000061035156
2015-01-20,124.73999786376953
2015-01-21,125.08999633789062
2015-01-22,127.30000305175781
2015-01-23,125.56999969482422
2015-01-26,125.12000274658203
2015-01-27,123.66999816894531
2015-01-28,121.26000213623047
2015-01-29,114.13999938964844
2015-01-30,110.13999938964844
2015-02-02,111.18000030517578
2015-02-03,108.72000122070312
2015-02-04,109.2699966430664
2015-02-05,111.58999633789062
2015-02-06,108.66000366210938
2015-02-09,107.87999725341797
2015-02-10,108.43000030517578
2015-02-11,108.62000274658203
2015-02-12,109.62999725341797
2015-02-13,113.66000366210938
2015-02-17,113.4000015258789
2015-02-18,113.56999969482422
2015-02-19,111.97000122070312
2015-02-20,118.61000061035156
2015-02-23,117.12000274658203
2015-02-24,116.91999816894531
2015-02-25,118.83999633789062
2015-02-26,119.97000122070312
2015-02-27,119.43000030517578
2015-03-02,120.16999816894531
2015-03-03,123.5199966430664
2015-03-04,120.05000305175781
2015-03-05,126.95999908447266
2015-03-06,126.33999633789062
2015-03-09,126.9800033569336
2015-03-10,124.13999938964844
2015-03-11,122.63999938964844
2015-03-12,123.30999755859375
2015-03-13,124.0
2015-03-16,127.7300033569336
2015-03-17,129.14999389648438
2015-03-18,129.7899932861328
2015-03-19,134.25
2015-03-20,131.0
2015-03-23,125.79000091552734
2015-03-24,124.33999633789062
2015-03-25,118.63999938964844
2015-03-26,117.5999984741211
2015-03-27,120.33999633789062
2015-03-30,121.25
2015-03-31,117.97000122070312
2015-04-01,116.43000030517578
2015-04-02,117.2300033569336
2015-04-06,118.25
2015-04-07,120.47000122070312
2015-04-08,123.79000091552734
2015-04-09,125.63999938964844
2015-04-10,128.47000122070312
2015-04-13,127.80999755859375
2015-04-14,128.72999572753906
2015-04-15,129.1999969482422
2015-04-16,128.94000244140625
2015-04-17,125.06999969482422
2015-04-20,125.55000305175781
2015-04-21,132.1999969482422
2015-04-22,132.85000610351562
2015-04-23,135.82000732421875
2015-04-24,133.1999969482422
2015-04-27,127.87999725341797
2015-04-28,125.47000122070312
2015-04-29,123.76000213623047
2015-04-30,123.27999877929688
2015-05-01,125.5999984741211
2015-05-04,126.30000305175781
2015-05-05,122.1500015258789
2015-05-06,122.93000030517578
2015-05-07,125.05000305175781
2015-05-08,127.41000366210938
2015-05-11,124.08000183105469
2015-05-12,124.08000183105469
2015-05-13,125.5199966430664
2015-05-14,123.0
2015-05-15,126.20999908447266
2015-05-18,127.30999755859375
2015-05-19,128.30999755859375
2015-05-20,126.75
2015-05-21,125.05000305175781
2015-05-22,125.08000183105469
2015-05-26,122.62999725341797
2015-05-27,127.80000305175781
2015-05-28,127.4000015258789
2015-05-29,128.2899932861328
2015-06-01,126.80000305175781
2015-06-02,124.80000305175781
2015-06-03,126.91999816894531
2015-06-04,126.94000244140625
2015-06-05,127.3499984741211
2015-06-08,125.5199966430664
2015-06-09,124.08000183105469
2015-06-10,125.18000030517578
2015-06-11,126.3499984741211
2015-06-12,124.36000061035156
2015-06-15,123.5
2015-06-16,123.33999633789062
2015-06-17,124.05000305175781
2015-06-18,127.62999725341797
2015-06-19,128.0399932861328
2015-06-22,129.02999877929688
2015-06-23,131.6199951171875
2015-06-24,129.58999633789062
2015-06-25,128.35000610351562
2015-06-26,126.87000274658203
2015-06-29,122.02999877929688
2015-06-30,123.4800033569336
2015-07-01,126.19000244140625
2015-07-02,131.25999450683594
2015-07-06,128.8300018310547
2015-07-07,127.4800033569336
2015-07-08,121.54000091552734
2015-07-09,120.88999938964844
2015-07-10,122.94999694824219
2015-07-13,124.23999786376953
2015-07-14,129.44000244140625
2015-07-15,133.52999877929688
2015-07-16,133.89999389648438
2015-07-17,134.1699981689453
2015-07-20,133.47000122070312
2015-07-21,130.97000122070312
2015-07-22,131.02000427246094
2015-07-23,130.85000610351562
2015-07-24,125.5
2015-07-27,123.2300033569336
2015-07-28,128.3000030517578
2015-07-29,125.62000274658203
2015-07-30,135.4600067138672
2015-07-31,135.0
2015-08-03,136.99000549316406
2015-08-04,140.3000030517578
2015-08-05,141.22000122070312
2015-08-06,139.44000244140625
2015-08-07,137.74000549316406
